"		지점번호",지점명,일시,평균기온(℃),최고기온(℃),"	최고기온시각",최저기온(℃),최저기온시각일교차,
"		108",서울,2016-05-01,18.8,26,14:29,12.2,5:20,13.8
"		108",서울,2016-05-02,21.1,28.4,13:46,16.5,5:51,11.9
"		108",서울,2016-05-03,12.9,17.6,0:01,8.9,21:19,8.7
"		108",서울,2016-05-04,15.7,20.6,15:46,10.2,0:01,10.4
"		108",서울,2016-05-05,18.9,26.9,15:36,10.2,6:07,16.7
"		108",서울,2016-05-06,16.3,18.6,6:51,13,23:31,5.6
"		108",서울,2016-05-07,16.5,22.6,15:40,10.7,6:03,11.9
"		108",서울,2016-05-08,19.4,26.8,15:54,11.6,5:44,15.2
"		108",서울,2016-05-09,20.2,25.4,12:15,16.3,5:56,9.1
"		108",서울,2016-05-10,14.5,18.1,0:01,12.5,24:00:00,5.6
"		108",서울,2016-05-11,16.4,23.5,15:37,10.4,5:22,13.1
"		108",서울,2016-05-12,17.8,24,14:54,12.1,4:49,11.9
"		108",서울,2016-05-13,18.6,25.4,16:52,12.7,3:12,12.7
"		108",서울,2016-05-14,20.2,26.9,15:37,15.1,5:28,11.8
"		108",서울,2016-05-15,17.4,24.2,12:38,12.3,23:50,11.9
"		108",서울,2016-05-16,15.9,21.9,15:28,10.8,2:40,11.1
"		108",서울,2016-05-17,19.3,26.6,16:53,10.9,5:32,15.7
"		108",서울,2016-05-18,22.3,29.5,14:41,13.5,5:57,16
"		108",서울,2016-05-19,24.3,31.9,15:59,16.3,6:05,15.6
"		108",서울,2016-05-20,24,31.6,15:52,16.8,5:27,14.8
"		108",서울,2016-05-21,24.1,30.4,14:10,17.8,5:31,12.6
"		108",서울,2016-05-22,24.7,31.7,16:29,17.6,6:03,14.1
"		108",서울,2016-05-23,23.3,29.4,14:10,18.3,6:20,11.1
"		108",서울,2016-05-24,16.8,21.8,0:05,15.4,23:45,6.4
"		108",서울,2016-05-25,19.7,24.4,14:20,15.3,0:27,9.1
"		108",서울,2016-05-26,19.4,22.9,12:07,17.5,23:57,5.4
"		108",서울,2016-05-27,20.9,27.1,14:55,14.8,5:50,12.3
"		108",서울,2016-05-28,21.7,28,15:02,17.2,6:05,10.8
"		108",서울,2016-05-29,21.5,27.6,15:43,17.2,1:55,10.4
"		108",서울,2016-05-30,22.1,28.9,14:50,16.9,5:53,12
"		108",서울,2016-05-31,21.6,27.6,14:33,17.4,5:37,10.2
"		108",서울,2016-06-01,23.3,29.9,15:58,17.1,4:00,12.8
"		108",서울,2016-06-02,23.2,29.1,13:45,17.2,5:35,11.9
"		108",서울,2016-06-03,22.2,27.7,14:31,17.6,5:17,10.1
"		108",서울,2016-06-04,21.2,26.3,15:30,18.2,4:26,8.1
