tm,mosquito_value_house,mosquito_value_park,STN,WS_AVG,WR_DAY,WD_MAX,WS_MAX,WS_MAX_TM,WD_INS,WS_INS,WS_INS_TM,TA_AVG,TA_MAX,TA_MAX_TM,TA_MIN,TA_MIN_TM,TD_AVG,TS_AVG,TG_MIN,HM_AVG,HM_MIN,HM_MIN_TM,PV_AVG,EV_S,EV_L,FG_DUR,PA_AVG,PS_AVG,PS_MAX,PS_MAX_TM,PS_MIN,PS_MIN_TM,CA_TOT,SS_DAY,SS_DUR,SS_CMB,SI_DAY,SI_60M_MAX,SI_60M_MAX_TM,RN_DAY,RN_D99,RN_DUR,RN_60M_MAX,RN_60M_MAX_TM,RN_10M_MAX,RN_10M_MAX_TM,RN_POW_MAX,RN_POW_MAX_TM,SD_NEW,SD_NEW_TM,SD_MAX,SD_MAX_TM,TE_05,TE_10,TE_15,TE_30,TE_50,날짜,수온,pH,용존산소(㎎/L),총질소(㎎/L),총인(㎎/L),총유기탄소
20200501,32.6,47.0,108,2.7,2328,29,5.5,1726,29,9.9,1752,20.2,26.2,1450,16.4,301,15.1,25.7,13.7,73.6,54.0,1452,17.2,5.3,3.7,-9.0,1003.0,1012.9,1014.3,7,1010.6,1641,6.6,6.1,13.8,-9.0,18.96,3.18,1200,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,14.9,13.1,12.6,12.8,13.4,2020-05-01,21.29861111111111,7.298611111111112,6.229166666666667,8.086180555555556,0.1165277777777777,6.8625
20200502,36.6,52.7,108,2.3,1985,23,4.6,111,29,7.6,1437,20.3,23.9,1500,18.0,328,16.6,22.7,15.1,79.6,62.0,1445,18.9,2.8,1.9,-9.0,1001.3,1011.2,1013.6,27,1008.3,2349,9.0,0.2,13.8,-9.0,9.43,1.45,1300,0.0,0.0,0.67,0.0,-9,0.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,15.8,13.4,12.7,12.8,13.4,2020-05-02,21.418055555555554,7.183333333333333,5.615277777777777,7.697152777777777,0.2016666666666667,5.084722222222222
20200503,43.0,62.0,108,2.0,1705,16,3.9,1242,14,7.2,1224,21.8,27.4,1459,17.0,520,15.3,26.7,12.3,68.8,46.0,1549,17.4,5.9,4.1,-9.0,996.0,1005.8,1008.5,21,1003.0,1658,7.0,5.9,13.8,-9.0,19.41,3.28,1200,0.0,0.0,1.08,0.0,-9,0.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,16.2,13.7,12.9,12.9,13.4,2020-05-03,22.00555555555556,7.166666666666667,5.736111111111111,7.444375000000001,0.2001388888888889,5.004166666666666
20200504,43.2,62.3,108,2.7,2310,27,4.6,1247,27,8.7,1317,20.2,25.3,1358,14.8,2359,12.9,28.9,10.8,63.9,44.0,1604,15.0,7.1,5.0,-9.0,998.1,1008.0,1011.0,2252,1005.0,213,3.4,10.1,13.9,-9.0,25.42,3.48,1200,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,16.9,14.1,13.0,12.9,13.4,2020-05-04,23.21666666666667,7.169444444444444,5.648611111111111,7.402916666666667,0.1448611111111111,5.172348484848484
20200505,46.7,67.3,108,1.9,1601,25,5.3,1354,23,8.8,1346,16.0,19.3,1211,13.1,519,9.9,17.1,5.9,67.9,54.0,1552,12.3,3.2,2.2,-9.0,1001.5,1011.6,1013.5,1527,1010.5,1823,5.4,3.3,13.9,-9.0,9.41,1.95,1600,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,17.4,14.4,13.2,12.9,13.4,2020-05-05,20.429166666666667,7.102777777777778,5.3500000000000005,7.886249999999999,0.2098611111111111,5.8375
20200506,43.0,62.0,108,2.1,1850,32,4.4,1623,2,8.0,1538,19.4,27.6,1546,11.1,546,7.3,26.5,3.9,50.0,19.0,1541,10.3,10.1,7.0,-9.0,1003.7,1013.7,1015.7,817,1010.7,1612,1.8,12.8,13.9,-9.0,28.51,3.48,1200,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,16.8,14.8,13.4,12.9,13.4,2020-05-06,21.002777777777776,7.190277777777777,6.270833333333333,7.204444444444444,0.1343055555555555,5.266995614035088
20200507,15.0,21.6,108,2.5,2167,9,4.3,319,14,9.5,930,20.7,26.5,1419,14.9,541,3.1,25.7,11.6,32.5,20.0,1331,7.7,8.7,6.1,-9.0,1007.1,1017.1,1018.8,827,1015.3,34,6.8,8.7,14.0,-9.0,23.93,3.49,1100,-9.0,-9.0,-9.0,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,-9.0,-9,17.2,14.9,13.7,13.0,13.4,2020-05-07,21.770540935672518,7.252266081871345,6.286111111111111,7.346600877192983,0.1326151315789473,5.128914141414142
20200508,41.2,59.4,108,2.4,2109,29,4.5,1514,29,7.9,1529,19.9,27.3,1423,14.3,2357,0.7,27.3,11.7,32.8,11.0,1159,6.9,8.1,5.7,-9.0,1004.4,1014.4,1016.9,13,1011.9,1427,7.4,7.5,14.0,-9.0,23.26,3.63,1100,2.3,14.5,6.17,1.6,2203,0.5,2238,-9.0,-9,-9.0,-9,-9.0,-9,17.6,15.1,13.9,13.0,13.4,2020-05-08,21.75555555555556,7.209722222222222,6.190277777777777,7.324027777777778,0.1167361111111111,4.816485507246377
20200509,44.1,63.6,108,3.6,3085,9,5.9,615,9,11.0,333,14.2,16.8,1623,12.7,338,13.3,15.1,11.9,94.4,76.0,3,15.3,0.9,0.6,-9.0,994.8,1004.9,1013.9,1,1001.6,1528,10.0,0.0,14.0,-9.0,3.0,0.56,1100,24.4,13.5,24.0,4.7,948,1.4,958,-9.0,-9,-9.0,-9,-9.0,-9,17.8,15.4,14.0,13.0,13.4,2020-05-09,19.34722222222222,7.023611111111111,4.2125,8.62888888888889,0.3352083333333333,7.25
20200510,42.3,61.0,108,2.5,2183,25,4.1,1556,25,7.1,1534,14.4,16.6,1405,12.8,138,12.4,15.7,12.2,88.6,78.0,1800,14.4,2.1,1.5,-9.0,997.0,1007.1,1010.1,2334,1004.3,206,9.0,0.4,14.1,-9.0,6.77,1.25,1200,1.3,-9.0,8.42,0.7,230,0.3,305,-9.0,-9,-9.0,-9,-9.0,-9,17.1,15.6,14.2,13.1,13.4,2020-05-10,18.54861111111111,6.951388888888889,4.976388888888889,6.135277777777778,0.2339583333333333,6.238888888888888
